PLAYER_NAME,TEAM_ID,PLAYER_ID,SEASON
Royce O'Neale,1610612762,1626220,2019
Bojan Bogdanovic,1610612762,202711,2019
Rudy Gobert,1610612762,203497,2019
Donovan Mitchell,1610612762,1628378,2019
Mike Conley,1610612762,201144,2019
Joe Ingles,1610612762,204060,2019
Ed Davis,1610612762,202334,2019
Jeff Green,1610612762,201145,2019
Dante Exum,1610612762,203957,2019
Emmanuel Mudiay,1610612762,1626144,2019
Georges Niang,1610612762,1627777,2019
Tony Bradley,1610612762,1628396,2019
Nigel Williams-Goss,1610612762,1628430,2019
Tobias Harris,1610612755,202699,2019
Al Horford,1610612755,201143,2019
Joel Embiid,1610612755,203954,2019
Furkan Korkmaz,1610612755,1627788,2019
Ben Simmons,1610612755,1627732,2019
James Ennis III,1610612755,203516,2019
Mike Scott,1610612755,203118,2019
Raul Neto,1610612755,203526,2019
Matisse Thybulle,1610612755,1629680,2019
Shake Milton,1610612755,1629003,2019
Kyle O'Quinn,1610612755,203124,2019
Norvel Pelle,1610612755,203658,2019
Kevin Knox II,1610612752,1628995,2019
Julius Randle,1610612752,203944,2019
Taj Gibson,1610612752,201959,2019
RJ Barrett,1610612752,1629628,2019
Dennis Smith Jr.,1610612752,1628372,2019
Wayne Ellington,1610612752,201961,2019
Mitchell Robinson,1610612752,1629011,2019
Damyean Dotson,1610612752,1628422,2019
Bobby Portis,1610612752,1626171,2019
Allonzo Trier,1610612752,1629019,2019
Ignas Brazdeikis,1610612752,1629649,2019
Kadeem Allen,1610612752,1628443,2019
Khris Middleton,1610612749,203114,2019
Giannis Antetokounmpo,1610612749,203507,2019
Robin Lopez,1610612749,201577,2019
Wesley Matthews,1610612749,202083,2019
Eric Bledsoe,1610612749,202339,2019
Donte DiVincenzo,1610612749,1628978,2019
Ersan Ilyasova,1610612749,101141,2019
Pat Connaughton,1610612749,1626192,2019
George Hill,1610612749,201588,2019
D.J. Wilson,1610612749,1628391,2019
Kyle Korver,1610612749,2594,2019
Dragan Bender,1610612749,1627733,2019
Thanasis Antetokounmpo,1610612749,203648,2019
Kris Dunn,1610612741,1627739,2019
Lauri Markkanen,1610612741,1628374,2019
Wendell Carter Jr.,1610612741,1628976,2019
Zach LaVine,1610612741,203897,2019
Tomas Satoransky,1610612741,203107,2019
Coby White,1610612741,1629632,2019
Thaddeus Young,1610612741,201152,2019
Ryan Arcidiacono,1610612741,1627853,2019
Denzel Valentine,1610612741,1627756,2019
Daniel Gafford,1610612741,1629655,2019
